Cell	cell_type
N4_bcBOUW	Recruited_macrophage
N4_bcBPBO	Erythrocyte
N4_bcBPCH	Endo
N4_bcBPFL	Erythrocyte
N4_bcBPFZ	IW1
N4_bcBPGQ	Recruited_macrophage
N4_bcBPHI	Erythrocyte
N4_bcBPIN	DC
N4_bcBPLZ	Erythrocyte
N4_bcBPPS	Recruited_macrophage
N4_bcBPQI	FLB1
N4_bcBPRG	IW1
N4_bcBPSM	Erythrocyte
N4_bcBPSY	Recruited_macrophage
N4_bcBPTP	FLB2
N4_bcBPWO	Erythrocyte
N4_bcBPZN	Erythrocyte
N4_bcBQAD	Recruited_macrophage
N4_bcBQLZ	Erythrocyte
N4_bcBQOJ	Erythrocyte
N4_bcBQPH	Early_B
N4_bcBQRQ	Erythrocyte
N4_bcBQVT	Erythrocyte
N4_bcBQXI	Erythrocyte
N4_bcBQXJ	Erythrocyte
N4_bcBQZK	Erythrocyte
N4_bcBQZY	Erythrocyte
N4_bcBRAP	Tcells
N4_bcBREE	Erythrocyte
N4_bcBRGC	Erythrocyte
N4_bcBRIK	Neutrophils1
N4_bcBROX	Erythrocyte
N4_bcBRRB	DC
N4_bcBRRI	Erythrocyte
N4_bcBRSG	IW1
N4_bcBRWP	FLB1
N4_bcBRZV	Erythrocyte
N4_bcBSAP	Erythrocyte
N4_bcBSBV	Neutrophils1
N4_bcBSCK	Erythrocyte
N4_bcBSDM	Tcells
N4_bcBSES	Early_B
N4_bcBSFG	Tcells
N4_bcBSFY	Erythrocyte
N4_bcBSHX	Erythrocyte
N4_bcBSLB	Erythrocyte
N4_bcBSLN	Erythrocyte
N4_bcBSMV	IW1
N4_bcBSNM	Erythrocyte
N4_bcBSOS	Leydig
N4_bcBSSK	Neutrophils1
N4_bcBSSX	FLB1
N4_bcBSTZ	Neutrophils1
N4_bcBSVC	Erythrocyte
N4_bcBSWE	FLB1
N4_bcBSWG	Erythrocyte
N4_bcBSWL	DC
N4_bcBSWS	IW1
N4_bcBSXH	IW3
N4_bcBSXN	Erythrocyte
N4_bcBTAR	Erythrocyte
N4_bcBTAV	FLB1
N4_bcBTBN	IW3
N4_bcBTBS	Leydig
N4_bcBTFA	IW1
N4_bcBTFV	IW1
N4_bcBTGQ	DC
N4_bcBTKK	Erythrocyte
N4_bcBTKV	Recruited_macrophage
N4_bcBTQB	Erythrocyte
N4_bcBTUX	Neutrophils1
N4_bcBTVJ	Neutrophils1
N4_bcBTXQ	Erythrocyte
N4_bcBTYX	IW1
N4_bcBTZL	Neutrophils1
N4_bcBUAD	FLB2
N4_bcBUCY	Leydig
N4_bcBUDT	Recruited_macrophage
N4_bcBUFW	FLB2
N4_bcBUHJ	Erythrocyte
N4_bcBUJI	Endo
N4_bcBUJK	Erythrocyte
N4_bcBUKJ	Erythrocyte
N4_bcBULA	Erythrocyte
N4_bcBUMM	IW3
N4_bcBUOA	Erythrocyte
N4_bcBUOJ	Leydig
N4_bcBUOT	Neutrophils2
N4_bcBUQD	IW3
N4_bcBUQK	Erythrocyte
N4_bcBUSY	Neutrophils1
N4_bcBUUP	Neutrophils1
N4_bcBUVM	Tcells
N4_bcBUWE	IW1
N4_bcBUYH	Early_B
N4_bcBUYU	IW3
N4_bcBVCP	Neutrophils1
N4_bcBVCT	Tcells
N4_bcBVEU	IW1
N4_bcBVHR	Erythrocyte
N4_bcBVIG	Erythrocyte
N4_bcBVKY	Recruited_macrophage
N4_bcBVLZ	Recruited_macrophage
N4_bcBVPI	FLB1
N4_bcBVPT	Erythrocyte
N4_bcBVRH	Leydig
N4_bcBVSE	Neutrophils1
N4_bcBVUI	Erythrocyte
N4_bcBVUO	Erythrocyte
N4_bcBVVA	Recruited_macrophage
N4_bcBVVK	Schwann
N4_bcBVWN	IW1
N4_bcBVXF	Recruited_macrophage
N4_bcBWCN	Erythrocyte
N4_bcBWDW	Erythrocyte
N4_bcBWEE	Erythrocyte
N4_bcBWIZ	Erythrocyte
N4_bcBWJN	Neutrophils1
N4_bcBWLD	Leydig
N4_bcBWLN	IW3
