cell	Cell_type
i3_intact_S1_bcCNDN	Epidermal_Langerhans
i3_intact_S1_bcCNZL	Intermediate_epidermis
i3_intact_S1_bcCOGX	SSCs
i3_intact_S1_bcCOJD	SSCs
i3_intact_S1_bcCOSK	Myeloid
i3_intact_S1_bcCOWI	Erythrocyte
i3_intact_S1_bcCOXC	SSCs
i3_intact_S1_bcCOYX	Intermediate_epidermis
i3_intact_S1_bcCPDN	SSCs
i3_intact_S1_bcCPLN	Intermediate_epidermis
i3_intact_S1_bcCPYO	Intermediate_epidermis
i3_intact_S1_bcCQBL	Fibroblast
i3_intact_S1_bcCQEA	Intermediate_epidermis
i3_intact_S1_bcCQHJ	Intermediate_epidermis
i3_intact_S1_bcCQOB	Intermediate_epidermis
i3_intact_S1_bcCQPW	SSCs
i3_intact_S1_bcCQRC	Proliferating_Epidermis
i3_intact_S1_bcCRBL	Intermediate_epidermis
i3_intact_S1_bcCREC	Ionocytes
i3_intact_S1_bcCRLU	Intermediate_epidermis
i3_intact_S1_bcCRMM	Intermediate_epidermis
i3_intact_S1_bcCRVV	Intermediate_epidermis
i3_intact_S1_bcCRWV	SSCs
i3_intact_S1_bcCRXI	Intermediate_epidermis
i3_intact_S1_bcCRXQ	Intermediate_epidermis
i3_intact_S1_bcCRXW	BasalEpidermis
i3_intact_S1_bcCSFD	SSCs
i3_intact_S1_bcCSFU	Intermediate_epidermis
i3_intact_S1_bcCSLQ	Intermediate_epidermis
i3_intact_S1_bcCTIJ	Proliferating_Epidermis
i3_intact_S1_bcCTNN	Intermediate_epidermis
i3_intact_S1_bcCTQE	Intermediate_epidermis
i3_intact_S1_bcCTVX	Intermediate_epidermis
i3_intact_S1_bcCTYI	Intermediate_epidermis
i3_intact_S1_bcCUDG	Intermediate_epidermis
i3_intact_S1_bcCUDL	Intermediate_epidermis
i3_intact_S1_bcCUDS	Myeloid
i3_intact_S1_bcCUFB	Erythrocyte
i3_intact_S1_bcCUFX	Erythrocyte
i3_intact_S1_bcCUOM	Tcells
i3_intact_S1_bcCURL	Erythrocyte
i3_intact_S1_bcCUTZ	Intermediate_epidermis
i3_intact_S1_bcCUVI	Intermediate_epidermis
i3_intact_S1_bcCUZI	Early_B
i3_intact_S1_bcCVBK	Intermediate_epidermis
i3_intact_S1_bcCVKO	Erythrocyte
i3_intact_S1_bcCVOS	Intermediate_epidermis
i3_intact_S1_bcCVXV	SSCs
i3_intact_S1_bcCVYZ	Ionocytes
i3_intact_S1_bcCWGC	Intermediate_epidermis
i3_intact_S1_bcCWIK	Myeloid
i3_intact_S1_bcCWUM	Intermediate_epidermis
i3_intact_S1_bcCXIC	Fibroblast
i3_intact_S1_bcCXQH	Intermediate_epidermis
i3_intact_S1_bcCXYV	SSCs
i3_intact_S1_bcCXZT	Intermediate_epidermis
i3_intact_S1_bcCYDV	Intermediate_epidermis
i3_intact_S1_bcCYEF	Intermediate_epidermis
i3_intact_S1_bcCYMS	Intermediate_epidermis
i3_intact_S1_bcCYNL	Intermediate_epidermis
i3_intact_S1_bcCYRD	Intermediate_epidermis
i3_intact_S1_bcCZDQ	Intermediate_epidermis
i3_intact_S1_bcCZGM	Intermediate_epidermis
i3_intact_S1_bcCZVL	Tcells
i3_intact_S1_bcDABD	Intermediate_epidermis
i3_intact_S1_bcDAGS	Intermediate_epidermis
i3_intact_S1_bcDAIM	Intermediate_epidermis
i3_intact_S1_bcDAJA	Erythrocyte
i3_intact_S1_bcDANV	Intermediate_epidermis
i3_intact_S1_bcDAPK	Intermediate_epidermis
i3_intact_S1_bcDAQM	Intermediate_epidermis
i3_intact_S1_bcDARR	Erythrocyte
i3_intact_S1_bcDATU	Tcells
i3_intact_S1_bcDBAE	Tcells
i3_intact_S1_bcDBBG	Proliferating_Epidermis
i3_intact_S1_bcDBDN	Intermediate_epidermis
i3_intact_S1_bcDBJL	SSCs
i3_intact_S1_bcDBLF	SSCs
i3_intact_S1_bcDBNO	Intermediate_epidermis
i3_intact_S1_bcDBQD	BasalEpidermis
i3_intact_S1_bcDBRS	Intermediate_epidermis
i3_intact_S1_bcDBYD	SSCs
i3_intact_S1_bcDBZR	Proliferating_Epidermis
i3_intact_S1_bcDBZZ	BasalEpidermis
i3_intact_S1_bcDCEZ	Intermediate_epidermis
i3_intact_S1_bcDCJH	Intermediate_epidermis
i3_intact_S1_bcDCJS	Erythrocyte
i3_intact_S1_bcDCLM	Erythrocyte
i3_intact_S1_bcDCMP	SSCs
i3_intact_S1_bcDCPQ	Proliferating_Epidermis
i3_intact_S1_bcDCQM	Intermediate_epidermis
i3_intact_S1_bcDCVV	Intermediate_epidermis
i3_intact_S1_bcDDCF	Tcells
i3_intact_S1_bcDDHN	Intermediate_epidermis
i3_intact_S1_bcDDJE	SSCs
i3_intact_S1_bcDDKM	BasalEpidermis
i3_intact_S1_bcDDPM	Tcells
i3_intact_S1_bcDDQE	Intermediate_epidermis
i3_intact_S1_bcDEAY	SSCs
i3_intact_S1_bcDEEQ	Intermediate_epidermis
i3_intact_S1_bcDEFE	Intermediate_epidermis
i3_intact_S1_bcDEKV	Intermediate_epidermis
i3_intact_S1_bcDEOU	Intermediate_epidermis
i3_intact_S1_bcDETB	Proliferating_Epidermis
i3_intact_S1_bcDFSH	Tcells
i3_intact_S1_bcDFTE	Intermediate_epidermis
i3_intact_S1_bcDFVX	BasalEpidermis
i3_intact_S1_bcDFXZ	SSCs
i3_intact_S1_bcDGFV	Intermediate_epidermis
i3_intact_S1_bcDGVP	Intermediate_epidermis
i3_intact_S1_bcDGVU	Intermediate_epidermis
i3_intact_S1_bcDGXE	Intermediate_epidermis
i3_intact_S1_bcDHCI	Fibroblast
i3_intact_S1_bcDHDH	SSCs
i3_intact_S1_bcDHVW	Tcells
i3_intact_S1_bcDHXN	Proliferating_Epidermis
i3_intact_S1_bcDIDP	SSCs
i3_intact_S1_bcDIKR	Intermediate_epidermis
i3_intact_S1_bcDIUM	Tcells
i3_intact_S1_bcDJCF	Erythrocyte
i3_intact_S1_bcDJGX	Proliferating_Epidermis
i3_intact_S1_bcDJJH	Tcells
i3_intact_S1_bcDJVR	Intermediate_epidermis
i3_intact_S1_bcDJWE	SSCs
i3_intact_S1_bcDKLP	Intermediate_epidermis
i3_intact_S1_bcDKXI	Intermediate_epidermis
i3_intact_S1_bcDKYF	Intermediate_epidermis
i3_intact_S1_bcDLAD	Intermediate_epidermis
i3_intact_S1_bcDLKV	Fibroblast
i3_intact_S1_bcDLPK	Intermediate_epidermis
i3_intact_S1_bcDLQK	Myeloid
i3_intact_S1_bcDLTJ	Myeloid
i3_intact_S1_bcDLUU	Myeloid
i3_intact_S1_bcDLWN	Intermediate_epidermis
i3_intact_S1_bcDMKI	Intermediate_epidermis
i3_intact_S1_bcDMLD	Proliferating_Epidermis
i3_intact_S1_bcDMLS	SSCs
i3_intact_S1_bcDMMQ	Intermediate_epidermis
i3_intact_S1_bcDMXE	Intermediate_epidermis
i3_intact_S1_bcDNBY	Tcells
i3_intact_S1_bcDNDO	Intermediate_epidermis
i3_intact_S1_bcDNEZ	Erythrocyte
i3_intact_S1_bcDNGI	Myeloid
i3_intact_S1_bcDNGU	Intermediate_epidermis
i3_intact_S1_bcDNJF	Myeloid
i3_intact_S1_bcDNTY	Erythrocyte
i3_intact_S1_bcDNZT	Intermediate_epidermis
i3_intact_S1_bcDOTA	Intermediate_epidermis
i3_intact_S1_bcDOYV	Erythrocyte
