cell	cell_type
S3_bcDSTY	FLB4
S3_bcDSYS	FLB4
S3_bcDTAJ	FLB4
S3_bcDTHA	EarlyB
S3_bcDTIN	Erythrocyte1
S3_bcDTNV	EarlyB
S3_bcDTSM	FLB4
S3_bcDTYT	FLB3
S3_bcDUCZ	FLB4
S3_bcDUEW	Macrophage
S3_bcDUID	Erythrocyte1
S3_bcDUKJ	Erythrocyte1
S3_bcDVBY	MyogenicBlastema
S3_bcDVJK	FLB5
S3_bcDVNO	Erythrocyte1
S3_bcDVOV	FLB4
S3_bcDVTN	Erythrocyte1
S3_bcDVXJ	FLB5
S3_bcDVZI	FLB4
S3_bcDWBJ	FLB4
S3_bcDWFZ	FLB5
S3_bcDWHI	FLB4
S3_bcDWJM	Erythrocyte1
S3_bcDWJT	FLB4
S3_bcDWKQ	Macrophage
S3_bcDWMM	FLB4
S3_bcDWRW	Tenocyte
S3_bcDWXA	FLB4
S3_bcDWXM	FLB5
S3_bcDXKJ	FLB5
S3_bcDXMT	Erythrocyte1
S3_bcDXRL	FLB4
S3_bcDXXO	Macrophage
S3_bcDXYQ	FLB4
S3_bcDXYU	Macrophage
S3_bcDXZP	Macrophage
S3_bcDYCR	Macrophage
S3_bcDYEK	FLB3
S3_bcDYMO	FLB4
S3_bcDYRD	Macrophage
S3_bcDYSH	FLB4
S3_bcDYSO	FLB5
S3_bcDYZR	MyogenicBlastema
S3_bcDZMM	FLB5
S3_bcDZPE	EarlyB
S3_bcDZTY	FLB4
S3_bcDZVI	FLB4
S3_bcDZVQ	FLB4
S3_bcEACR	FLB5
S3_bcEAGO	FLB4
S3_bcEAHS	Endothelial
S3_bcEAJS	FLB4
S3_bcEAKA	Macrophage
S3_bcEAOL	FLB4
S3_bcEAWK	Macrophage
S3_bcEAYS	FLB5
S3_bcEAZZ	FLB4
S3_bcEBAT	Macrophage
S3_bcEBEB	Macrophage
S3_bcEBLA	Macrophage
S3_bcEBLY	Macrophage
S3_bcEBQQ	FLB4
