cell	Cell_type
S1_bcCRON	Erythrocyte
S1_bcCRTS	Erythrocyte
S1_bcCRUA	FLB9
S1_bcCRVC	FLB7
S1_bcCRVW	Erythrocyte
S1_bcCRYJ	Macrophage
S1_bcCSAF	Tcells
S1_bcCSBH	Erythrocyte
S1_bcCSIW	Erythrocyte
S1_bcCSJT	Erythrocyte
S1_bcCSVU	Erythrocyte
S1_bcCSZD	IW4
S1_bcCTCH	Erythrocyte
S1_bcCTDL	Erythrocyte
S1_bcCTGA	Erythrocyte
S1_bcCTHU	Erythrocyte
S1_bcCTKX	Erythrocyte
S1_bcCTOT	FLB8
S1_bcCTST	Erythrocyte
S1_bcCTTM	Erythrocyte
S1_bcCTTX	IW5
S1_bcCTVG	Erythrocyte
S1_bcCUAE	BasalWE2
S1_bcCUAG	Erythrocyte
S1_bcCUCM	Erythrocyte
S1_bcCUCV	Erythrocyte
S1_bcCUDU	Erythrocyte
S1_bcCUEY	Erythrocyte
S1_bcCUGT	Erythrocyte
S1_bcCUMC	Erythrocyte
S1_bcCUSV	IW4
S1_bcCUYB	IW5
S1_bcCUZZ	IW5
S1_bcCVFC	Erythrocyte
S1_bcCVLA	IW5
S1_bcCVTK	Erythrocyte
S1_bcCWAP	Erythrocyte
S1_bcCWCU	IW5
S1_bcCWCW	Erythrocyte
S1_bcCWFC	IW4
S1_bcCWMD	Erythrocyte
S1_bcCWNC	IW5
S1_bcCWNP	FLB7
S1_bcCWOS	IW4
S1_bcCWRL	Erythrocyte
S1_bcCWSA	IW4
S1_bcCWZD	Erythrocyte
S1_bcCWZL	Erythrocyte
S1_bcCXCE	Endo
S1_bcCXFH	IW4
S1_bcCXIM	BasalWE1
S1_bcCXOQ	BasalWE2
S1_bcCXQA	FLB9
S1_bcCXRX	Erythrocyte
S1_bcCXYX	Erythrocyte
S1_bcCXZI	Erythrocyte
S1_bcCXZZ	Erythrocyte
S1_bcCYCC	Erythrocyte
S1_bcCYDI	Erythrocyte
S1_bcCYEK	Erythrocyte
S1_bcCYFF	Erythrocyte
S1_bcCYHO	Erythrocyte
S1_bcCYJJ	FLB7
S1_bcCYQI	Erythrocyte
S1_bcCYTH	FLB9
S1_bcCZKD	IW5
S1_bcCZOR	Tcells
S1_bcCZOU	IW4
S1_bcCZUJ	BasalWE1
S1_bcCZVC	Bcells
S1_bcCZWP	Erythrocyte
S1_bcCZYF	Erythrocyte
S1_bcDAAV	Tcells
S1_bcDACZ	Tcells
S1_bcDAFK	Erythrocyte
S1_bcDAIP	Erythrocyte
S1_bcDAIS	Erythrocyte
S1_bcDALC	Erythrocyte
S1_bcDALM	IW5
S1_bcDALU	IW4
S1_bcDANE	IW5
S1_bcDAPL	IW4
S1_bcDBCK	Erythrocyte
S1_bcDBGH	IW5
S1_bcDBGQ	IW5
S1_bcDBGS	Erythrocyte
S1_bcDBHF	IW5
S1_bcDBLT	Erythrocyte
S1_bcDBRD	Erythrocyte
S1_bcDBSD	IW5
S1_bcDBSG	Erythrocyte
S1_bcDBST	Erythrocyte
S1_bcDBZR	IW5
S1_bcDCAL	Erythrocyte
S1_bcDCFS	Macrophage
S1_bcDCJV	Erythrocyte
S1_bcDCMO	Erythrocyte
S1_bcDCRG	Erythrocyte
S1_bcDDEG	Erythrocyte
S1_bcDDFQ	FLB9
S1_bcDDIU	SSC
S1_bcDDKS	Erythrocyte
S1_bcDDLU	Erythrocyte
S1_bcDDOJ	IW5
S1_bcDDTL	Erythrocyte
S1_bcDDWY	Macrophage
S1_bcDEBB	IW5
S1_bcDECD	Tcells
S1_bcDEES	Erythrocyte
S1_bcDEKM	Erythrocyte
S1_bcDENG	BasalWE2
S1_bcDEQF	Erythrocyte
S1_bcDEQM	Erythrocyte
S1_bcDERR	IW5
S1_bcDEUN	Erythrocyte
S1_bcDEZM	Erythrocyte
S1_bcDFAL	Tcells
S1_bcDFBP	Erythrocyte
S1_bcDFCV	Erythrocyte
S1_bcDFDE	Erythrocyte
S1_bcDFEI	Macrophage
S1_bcDFFQ	Erythrocyte
S1_bcDFKB	IW4
S1_bcDFTX	Erythrocyte
S1_bcDFTY	IW5
S1_bcDFUN	Erythrocyte
S1_bcDFYT	Erythrocyte
S1_bcDFZY	Erythrocyte
S1_bcDGAT	Erythrocyte
S1_bcDGCH	Erythrocyte
S1_bcDGFS	Endo
S1_bcDGHY	Erythrocyte
S1_bcDGJJ	FLB7
S1_bcDGQX	FLB6
S1_bcDGQZ	Erythrocyte
S1_bcDGTO	Erythrocyte
S1_bcDGTX	FLB9
S1_bcDGWN	Erythrocyte
S1_bcDGYV	Tcells
S1_bcDHCP	Erythrocyte
S1_bcDHEO	Erythrocyte
S1_bcDHFA	IW4
S1_bcDHFG	Tcells
S1_bcDHLF	Erythrocyte
S1_bcDHOZ	Erythrocyte
S1_bcDIAJ	FLB7
S1_bcDIBX	Erythrocyte
S1_bcDICJ	Erythrocyte
S1_bcDINB	Erythrocyte
S1_bcDIOZ	Erythrocyte
S1_bcDJJN	Erythrocyte
S1_bcDJKU	Erythrocyte
S1_bcDJTM	Erythrocyte
S1_bcDJYY	Erythrocyte
S1_bcDKEF	Erythrocyte
S1_bcDKGI	Erythrocyte
S1_bcDKIC	Erythrocyte
S1_bcDKMT	Erythrocyte
S1_bcDKMZ	FLB9
S1_bcDKOX	IW5
S1_bcDKQZ	Erythrocyte
S1_bcDKVA	Erythrocyte
S1_bcDKVJ	Erythrocyte
S1_bcDKXA	FLB7
S1_bcDKXF	Erythrocyte
S1_bcDLAM	Erythrocyte
S1_bcDLAO	IW5
S1_bcDLAU	Erythrocyte
S1_bcDLIN	FLB7
S1_bcDLMA	Erythrocyte
S1_bcDLNA	Erythrocyte
S1_bcDLNS	Erythrocyte
S1_bcDLPD	Erythrocyte
S1_bcDLRB	Tcells
S1_bcDLSH	Erythrocyte
S1_bcDLSN	FLB7
S1_bcDLUX	FLB9
S1_bcDLWG	Erythrocyte
S1_bcDLWU	Erythrocyte
S1_bcDMFS	Erythrocyte
S1_bcDMIM	IW5
S1_bcDMJI	Erythrocyte
S1_bcDMLU	IW4
S1_bcDMLZ	Erythrocyte
S1_bcDMRK	Erythrocyte
S1_bcDMWT	Erythrocyte
S1_bcDMXV	Erythrocyte
S1_bcDMZY	Erythrocyte
S1_bcDNCE	FLB7
S1_bcDNDX	Erythrocyte
S1_bcDNIH	Erythrocyte
S1_bcDNJA	Erythrocyte
S1_bcDNJG	Erythrocyte
S1_bcDNRV	Erythrocyte
S1_bcDNSZ	Erythrocyte
S1_bcDNTV	Erythrocyte
S1_bcDNXW	Erythrocyte
S1_bcDNZP	Erythrocyte
S1_bcDODB	Erythrocyte
S1_bcDOFA	IW5
S1_bcDOGF	IW5
S1_bcDOGZ	Erythrocyte
S1_bcDOHN	IW4
S1_bcDOKE	Erythrocyte
S1_bcDOPV	Erythrocyte
S1_bcDOYI	SSC
S1_bcDPCQ	Erythrocyte
S1_bcDPPB	IW4
S1_bcDPSL	Tcells
S1_bcDPSM	Erythrocyte
S1_bcDPVB	Erythrocyte
S1_bcDPZG	Erythrocyte
S1_bcDQFJ	IW4
S1_bcDQMQ	Erythrocyte
S1_bcDQNP	Erythrocyte
S1_bcDQUM	Erythrocyte
S1_bcDQVZ	Neutrophil
S1_bcDQWM	FLB8
S1_bcDRIP	Erythrocyte
S1_bcDRJP	Erythrocyte
S1_bcDRJZ	Erythrocyte
S1_bcDRKC	FLB7
S1_bcDRKW	Erythrocyte
S1_bcDRQM	Erythrocyte
S1_bcDRTS	Erythrocyte
S1_bcDRWG	IW4
S1_bcDRZB	Erythrocyte
S1_bcDRZQ	FLB9
S1_bcDSDF	IW5
S1_bcDSFS	IW5
S1_bcDSOX	Erythrocyte
S1_bcDSPO	Erythrocyte
S1_bcDSQP	Erythrocyte
S1_bcDSQV	Erythrocyte
S1_bcDSVC	Erythrocyte
S1_bcDSWB	Macrophage
S1_bcDTAU	IW5
S1_bcDTBD	Erythrocyte
S1_bcDTBJ	Erythrocyte
S1_bcDTFJ	Erythrocyte
S1_bcDTGM	Erythrocyte
S1_bcDTKJ	IW5
S1_bcDTLB	Erythrocyte
S1_bcDTWJ	Erythrocyte
S1_bcDUBX	Endo
